English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted,Duplicate?
warmth,B1,feminine,toplina,X,osjećaj ugodne topline; svojstvo toplog,X,Toplina doma uvijek mu je nedostajala.,The warmth of home was something he always missed.,,
tower,B1,masculine,toranj,X,visoka građevina uskog oblika,X,Na trgu stoji stari toranj.,On the square stands an old tower.,,
bag,A1,feminine,torba,X,"predmet u koji se spremaju knjige, odjeća ili drugi predmeti",X,Torba je teška jer je puna knjiga.,The bag is heavy because it is full of books.,,
"purse, handbag",A2,feminine,torbica,X,mala torba za nošenje sitnih stvari,X,U torbici nosim ključeve i novčanik.,I carry keys and a wallet in my handbag.,,
cake,A2,feminine,torta,X,slatki kolač od više slojeva,X,Za rođendan smo kupili tortu.,We bought a cake for the birthday.,,
toast,A1,masculine,tost,X,kruh pečen u kalupu,X,Za doručak jedem tost s maslacem.,"For breakfast, I eat toast with butter.",,
toaster,A1,masculine,toster,X,uređaj za pečenje kruha,X,Kruh stavljam u toster da bude hrskav.,I put the bread in the toaster to make it crispy.,,
totality,C,masculine,totalitet,X,cjelovit skup elemenata,X,Totalitet sustava vidljiv je tek kad se promatra u njegovim međusobnim vezama.,The totality of a system is only visible when viewed in its interconnectedness.,,
gossip,B1,masculine,trač,X,informacija o osobnim stvarima drugih ljudi,X,U uredu se brzo proširio novi trač.,A new rumor quickly spread in the office.,,
tradition,B1,feminine,tradicija,X,običaji i navike preneseni kroz povijest,X,Tradicija kaže da se darovi nose za Božić.,Tradition says that gifts are brought for Christmas.,,
traditional,B1,adjective,tradicionalan,X,koji pripada starim običajima i vjerovanjima,X,Oni njeguju tradicionalan način života.,They cherish a traditional way of life.,,
traditionally,B1,adverb,tradicionalno,X,na način koji slijedi stare običaje,X,Tradicionalno se jelo poslužuje za Uskrs.,A traditional dish is served at Easter.,,
trace,B2,masculine,trag,X,trag ili znak koji ostaje nakon dodira ili kretanja,X,Na pijesku je ostao trag njegovih koraka.,A trace of his footsteps remained in the sand.,,
duration,B1,neuter,trajanje,X,vrijeme tijekom kojeg nešto traje,X,Trajanje filma je nešto više od dva sata.,The duration of the film is a little over two hours.,,
last,A2,verb,trajati,X,trajati kroz određeno vrijeme bez prekida,X,Predavanje će trajati sat vremena.,The lecture will last an hour.,,
ferry,A2,masculine,trajekt,X,brod koji prevozi ljude i vozila preko mora ili rijeke,X,Trajekt ide na otok svako jutro.,The ferry goes to the island every morning.,,
tram,A1,masculine,tramvaj,X,vozilo koje se kreće po tračnicama u gradu i prevozi putnike,X,Tramvaj je crven.,The tram is red.,,
transgender,B2,adjective,transrodni,X,koji se odnosi na osobe čiji rodni identitet ne odgovara spolu pri rođenju,X,Transrodni aktivisti bore se za jednaka prava.,Transgender activists fight for equal rights.,,
"grass, herb",A2,feminine,trava,X,niska zelena biljka što raste na poljima i livadama,X,Trava je zelena i mekana.,The grass is green and soft.,,
April,A1,masculine,travanj,X,četvrti mjesec u godini,X,Travanj je proljetni mjesec.,April is a spring month.,,
"look for, search for, seek",A2,verb,tražiti,X,nastojati pronaći nešto ili nekoga,X,Tražim ključeve po cijeloj kući.,I’m looking for the keys all over the house.,,
"belly, stomach",A2,masculine,trbuh,X,prednji dio ljudskog tijela ispod rebara,X,Nakon večere boli me trbuh.,After dinner my stomach hurts.,,
run,A1,verb,trčati,X,kretati se brzo pomoću nogu,X,Djeca vole trčati u parku.,Children like to run in the park.,,
"need, need to, should",A1,verb,trebati,X,imati potrebu za nečim,X,Trebaš učiti.,You need to study.,,
third,A1,adjective,treći,X,koji je po redu broj tri,X,To je moj treći sat danas.,This is my third class today.,,
trend,B1,masculine,trend,X,preovladavajući smjer u društvu,X,Ove godine dominira trend jednostavnog dizajna.,"This year, the trend of simple design dominates.",,
coach,A2,masculine,trener,X,osoba koja podučava sport,X,Trener nas bodri svaki trening.,My coach cheers us on at every practice.,,
training,A2,masculine,trening,X,vježbanje radi poboljšanja sposobnosti,X,Nakon treninga osjećam se odlično.,I feel great after practice.,,
"immediate, instantaneous",B2,adjective,trenutačan,X,koji se događa odmah; trenutan,X,Njihova je reakcija bila trenutačna i dobro organizirana.,Their reaction was immediate and well-organized.,,
moment,A2,masculine,trenutak,X,vrlo kratak dio vremena,X,U tom trenutku zazvonio je telefon.,At that moment the phone rang.,,
current,B1,adjective,trenutan,X,koji se događa sada; trenutačan,X,To je bio trenutan osjećaj sreće.,It was an instant feeling of happiness.,,
currently,B1,adverb,trenutno,X,u ovom trenutku; sada,X,Trenutno radim na novom projektu.,I am currently working on a new project.,,
eyelash,A2,feminine,trepavica,X,dlaka na rubu kapka,X,Duga trepavica pala joj je na obraz.,A long eyelash had fallen onto her cheek.,,
sober,C,adjective,trezven,X,koji je razborit i trijezan u mišljenju,X,Ostao je trezven u raspravi iako su emocije bile jake.,"He remained sober in the discussion, although emotions were strong.",,
"square, marketplace",A1,masculine,trg,X,veliki otvoreni prostor u gradu okružen zgradama,X,Trg je pun ljudi.,The square is full of people.,,
"shopkeeper, dealer",A2,masculine,trgovac,X,osoba koja prodaje robu,X,Trgovac prodaje voće na tržnici.,The shopkeeper sells fruit at the market.,,
"trade, deal",B2,verb,trgovati,X,obavljati kupnju i prodaju robe ili usluga radi zarade,X,Njegova tvrtka već godinama trguje s inozemstvom.,His company has been trading with foreign countries for years.,,
"store, shop",A1,feminine,trgovina,X,mjesto u kojem se prodaju proizvodi,X,Trgovina prodaje svježe voće i povrće.,The store sells fresh fruit and vegetables.,,
three,A1,numeral,tri,X,broj koji označava količinu od dva plus jedan,X,Tri stola su u sobi.,There are three tables in the room.,,
thirty,A1,numeral,trideset,X,broj koji označava količinu od tri deset puta,X,U učionici sjedi trideset učenika.,Thirty students sit in the classroom.,,
sober,A2,adjective,trijezan,X,koji nije pod utjecajem alkohola,X,Sada je trijezan i može voziti.,Now he is sober and can drive.,,
thirteen,A1,numeral,trinaest,X,broj koji označava količinu od deset plus tri,X,U razredu je trinaest stolica.,There are thirteen chairs in the classroom.,,
trinity,B2,neuter,trojstvo,X,zajedništvo triju božanskih osoba,X,Trojstvo ima posebno značenje u njihovoj vjerskoj tradiciji.,The Trinity has a special meaning in their religious tradition.,,
triangle,A2,masculine,trokut,X,geometrijski lik s tri stranice i tri kuta,X,Dijete je nacrtalo trokut na papiru.,The child drew a triangle on the paper.,,
troll,B1,masculine,trol,X,osoba koja provocira druge na internetu,X,Trol je napisao ružne komentare na internetu.,A troll wrote nasty comments on the Internet.,,
spend,B1,verb,trošiti,X,koristiti novac ili resurse za kupnju ili potrošnju,X,Previše trošim novca na kavu.,I spend too much money on coffee.,,
tolerant,B2,adjective,trpeljiv,X,koji ima razumijevanja za tuđe greške,X,Trpeljiv je i ne gubi živce lako.,He is patient and doesn’t lose his temper easily.,,
tolerance,B2,feminine,trpeljivost,X,sposobnost podnošenja tuđih pogleda ili postupaka,X,Trpeljivost je vrlina koju mnogi nemaju.,Patience is a virtue many people lack.,,
dining room,B1,feminine,trpezarija,X,prostorija za objedovanje,X,Večera se poslužuje u trpezariji.,Dinner is served in the dining room.,,
effort,B1,masculine,trud,X,naporno nastojanje da se nešto postigne,X,Uložio je mnogo truda da bi završio projekt.,He put in a lot of effort to finish the project.,,
market,A2,feminine,tržnica,X,mjesto gdje se prodaju poljoprivredni proizvodi,X,Tržnica je puna svježeg voća i povrća.,The market is full of fresh fruit and vegetables.,,
here,A1,adverb,tu,X,na ovom mjestu,X,Tvoja torba je tu na stolici.,Your bag is on the chair.,,
"sorrow, grief, sadness",B1,feminine,tuga,X,osjećaj tuge i boli zbog gubitka,X,Osjetio je veliku tugu nakon gubitka.,He felt great sadness after the loss.,,
grieve,B2,verb,tugovati,X,osjećati tugu zbog gubitka ili nesreće,X,Nakon smrti supruge dugo je tugovao u tišini.,"After his wife’s death, he mourned in silence for a long time.",,
tuna,A2,feminine,tuna,X,velika morska riba čvrstog mesa,X,Volim jesti tunu s povrćem.,I like to eat tuna with vegetables.,,
dull,B2,adjective,tup,X,koji nije oštar ni brz u reakcijama,X,Zbog straha je reagirao tupim izrazom lica.,"Out of fear, he reacted with a blank expression.",,
dullness,B2,feminine,tupost,X,nedostatak oštrine; sporost u razmišljanju ili osjećanju,X,Tupost noža otežava rezanje povrća.,The dullness of the knife makes cutting vegetables difficult.,,
tourist,A2,masculine,turist,X,osoba koja putuje radi odmora ili razgledavanja,X,Turist je fotografirao stari grad.,The tourist photographed the old town.,,
tourism,B1,masculine,turizam,X,djelatnost putovanja radi odmora i upoznavanja mjesta,X,Turizam je važan dio gospodarstva naše zemlje.,Tourism is an important part of our country’s economy.,,
shower,A2,masculine,tuš,X,uređaj iz kojeg teče voda za pranje tijela,X,Nakon sporta idem pod tuš.,"After sports, I take a shower.",,
shower,A1,expression,tuširati se,X,oprati se pod tušem,X,Volim se tuširati svako jutro.,I like to shower every morning.,,
sad,A1,adjective,tužan,X,koji osjeća tugu ili žalost,X,On je tužan danas.,He is sad today.,,
"substance, matter, material",B2,feminine,tvar,X,materijalna tvar ili osnovni sastojak,X,Voda je najvažnija tvar na Zemlji.,Water is the most important substance on Earth.,,
your,A1,adjective,tvoj,X,koji pripada osobi kojoj se govori,X,Tvoj brat je ovdje.,Your brother is here.,,
factory,A2,feminine,tvornica,X,mjesto u kojem se proizvodi roba,X,Tvornica proizvodi odjeću za izvoz.,The factory produces clothing for export.,,
"hard, firm",A2,adjective,tvrd,X,koji je tvrd na dodir; suprotan mekan,X,Kruh je bio tvrd i star.,The bread was hard and old.,,
fortress,A2,feminine,tvrđava,X,utvrđena građevina,X,Tvrđava se vidi s vrha brda.,The fortress can be seen from the top of a hill.,,
claim,B1,verb,tvrditi,X,iznositi nešto kao istinu,X,On nastavlja tvrditi da je bio u pravu.,He continues to insist that he was right.,,
company,B1,feminine,tvrtka,X,poslovni subjekt koji obavlja gospodarsku djelatnost,X,Moja tvrtka radi na novom projektu.,My company is working on a new project.,,
"in, at",A1,preposition,u,X,prijedlog kojim se označava unutrašnjost ili smjer prema unutra,X,U kući je pas.,There is a dog in the house.,,
out of order,B1,expression,u kvaru,X,stanje neispravnosti uređaja,X,Lift je u kvaru pa moramo pješice.,"The elevator is broken, so we have to walk.",,
"okay, OK, alright, all right, in line",A1,expression,u redu,X,izražavanje slaganja ili prihvaćanja nečega,X,"U redu, vidimo se sutra.","Okay, I'll see you tomorrow.",,
in any case,B2,expression,u svakom slučaju,X,"bez obzira na okolnosti, u svakom slučaju",X,"U svakom slučaju, trebamo završiti projekt do kraja tjedna.","In any case, we need to finish the project by the end of the week.",,
"about, in connection with",B2,expression,u vezi s,X,u vezi s određenom temom ili pitanjem,X,"U vezi s tim, poslat ćemo novu poruku.",We'll send another message about that.,,
"kill, murder",B1,verb,ubiti,X,oduzeti život nekom biću,X,Ratnik je odlučio ubiti neprijatelja.,The warrior decided to kill the enemy.,,
murderer,B2,masculine,ubojica,X,osoba koja oduzima život drugome,X,Ubojica je pronađen nakon dugotrajne istrage.,The murderer was found after a long investigation.,,
murder,B2,neuter,ubojstvo,X,namjerno oduzimanje tuđeg života,X,Sud je donio presudu u predmetu ubojstva.,The court has delivered a verdict in the murder case.,,
"prick, stab",B2,verb,ubosti,X,probosti oštrim predmetom,X,Ubostio se iglom dok je šivao.,He pricked himself with a needle while sewing.,,
"student, pupil",A1,masculine,učenik,X,osoba koja pohađa školu radi stjecanja znanja,X,Učenik piše zadaću.,The student is writing homework.,,
scholar,C,masculine,učenjak,X,osoba koja se bavi proučavanjem znanja ili znanosti,X,Poznati učenjak napisao je djelo koje je promijenilo shvaćanje povijesti.,A renowned scholar wrote a work that changed the understanding of history.,,
frequency,B2,feminine,učestalost,X,učestalo ponavljanje neke pojave,X,Učestalost potresa u tom području zabrinjava stanovnike.,The frequency of earthquakes in that area worries the residents.,,
"get on, go in, enter",A2,verb,ući,X,ući u prostor ili vozilo,X,Ušli smo u autobus na zadnja vrata.,We got on the bus through the back door.,,
"school, institute",B1,neuter,učilište,X,ustanova za obrazovanje i učenje,X,Ovo učilište nudi tečajeve jezika.,This institute offers language courses.,,
effect,B2,masculine,učinak,X,rezultat djelovanja koji proizvodi promjenu,X,Ovaj lijek ima jak učinak na tijelo.,This medicine has a strong effect on the body.,,
do,B1,verb,učiniti,X,"učiniti nešto, izazvati neku promjenu",X,Ne znam što mogu učiniti da ti pomognem.,I don’t know what I can do to help you.,,
"effective, efficient",B2,adjective,učinkovit,X,koji daje dobar rezultat uz najmanje napora,X,Ovaj lijek je učinkovit protiv bolesti.,This medicine is effective against illness.,,
classroom,A2,feminine,učionica,X,prostorija u kojoj učenici imaju nastavu,X,Učionica je puna učenika.,The classroom is full of students.,,
teacher,A1,masculine,učitelj,X,osoba koja poučava učenike u školi,X,Učitelj pita učenike.,The teacher is asking the students.,,
teacher,A2,feminine,učiteljica,X,žena koja poučava u školi,X,Učiteljica piše na ploči.,The teacher writes on the blackboard.,,
"learn, study",A1,verb,učiti,X,stjecati znanje vježbom i ponavljanjem,X,Učim hrvatski.,I am learning Croatian.,,
inhale,B2,verb,udahnuti,X,udahnuti zrak u pluća,X,Duboko sam udahnuo prije ispita.,I took a deep breath before the exam.,,
distance,B2,feminine,udaljenost,X,udaljenost između dviju točaka,X,Udaljenost između dva grada je sto kilometara.,The distance between the two cities is one hundred kilometers.,,
"bang, strike",B2,masculine,udar,X,jak udarac,X,Udar u zid odjeknuo je kroz cijelu zgradu.,A bang on the wall echoed throughout the building.,,
punch,A2,masculine,udarac,X,fizički udar na tijelo,X,Lopta je završila u golu nakon snažnog udarca.,The ball ended up in the goal after a strong kick.,,
hit,A2,verb,udarati,X,udarati više puta,X,Djeca udaraju loptu o zid.,The kids are hitting the ball against the wall.,,
hit,B1,verb,udariti,X,udariti jednom,X,Udario je loptu toliko jako da je preletjela ogradu.,He hit the ball so hard that it flew over the fence.,,
"married, married woman",A2,adjective,udat,X,u braku kao žena,X,Ona je udata već pet godina.,She has been married for five years.,,
